DATE,DSPI
1/1/1959,351.5
2/1/1959,352.9
3/1/1959,355.2
4/1/1959,358.2
5/1/1959,360.3
6/1/1959,362.6
7/1/1959,362.8
8/1/1959,361.2
9/1/1959,362.3
10/1/1959,363.4
11/1/1959,366.3
12/1/1959,370.2
1/1/1960,370.8
2/1/1960,371.3
3/1/1960,371.9
4/1/1960,374.7
5/1/1960,376
6/1/1960,376.5
7/1/1960,377.7
8/1/1960,377.5
9/1/1960,378.3
10/1/1960,380.1
11/1/1960,379.8
12/1/1960,378.2
1/1/1961,381.9
2/1/1961,383.8
3/1/1961,385.2
4/1/1961,385.8
5/1/1961,389.2
6/1/1961,393.3
7/1/1961,395.5
8/1/1961,395.9
9/1/1961,396.7
10/1/1961,400.8
11/1/1961,404.6
12/1/1961,407.1
1/1/1962,406.9
2/1/1962,409.8
3/1/1962,413.1
4/1/1962,415.4
5/1/1962,415.9
6/1/1962,416.2
7/1/1962,417.8
8/1/1962,418.8
9/1/1962,421
10/1/1962,422.6
11/1/1962,424.1
12/1/1962,425.9
1/1/1963,430
2/1/1963,427.9
3/1/1963,429.4
4/1/1963,431.1
5/1/1963,433.5
6/1/1963,436.6
7/1/1963,438
8/1/1963,440.3
9/1/1963,443.5
10/1/1963,447
11/1/1963,448.5
12/1/1963,452.8
1/1/1964,455.3
2/1/1964,457.4
3/1/1964,468.5
4/1/1964,471.4
5/1/1964,473.9
6/1/1964,476.2
7/1/1964,479
8/1/1964,481.5
9/1/1964,484.2
10/1/1964,484.3
11/1/1964,488.1
12/1/1964,493.5
1/1/1965,495
2/1/1965,495.4
3/1/1965,497.7
4/1/1965,499
5/1/1965,505.6
6/1/1965,507.8
7/1/1965,513.5
8/1/1965,516.2
9/1/1965,529.9
10/1/1965,527.5
11/1/1965,532.1
12/1/1965,536.3
1/1/1966,537.2
2/1/1966,541.7
3/1/1966,545.2
4/1/1966,545
5/1/1966,546.5
6/1/1966,550.2
7/1/1966,553.1
8/1/1966,558.1
9/1/1966,563.2
10/1/1966,566.5
11/1/1966,570
12/1/1966,570.7
1/1/1967,576.6
2/1/1967,578.4
3/1/1967,583
4/1/1967,583.8
5/1/1967,586.1
6/1/1967,590.2
7/1/1967,594.5
8/1/1967,598.5
9/1/1967,600.2
10/1/1967,602.8
11/1/1967,608.5
12/1/1967,610.5
1/1/1968,616.7
2/1/1968,623.6
3/1/1968,631.6
4/1/1968,635.7
5/1/1968,640.7
6/1/1968,645.6
7/1/1968,646.3
8/1/1968,649.8
9/1/1968,652.1
10/1/1968,657.3
11/1/1968,662
12/1/1968,665.7
1/1/1969,667.1
2/1/1969,668.9
3/1/1969,673.3
4/1/1969,675.3
5/1/1969,685.7
6/1/1969,693.9
7/1/1969,701.8
8/1/1969,708.1
9/1/1969,712.6
10/1/1969,716.7
11/1/1969,721
12/1/1969,725.7
1/1/1970,732.1
2/1/1970,737.4
3/1/1970,742
