date,close,volume,coffeePrice
1992-06-29,0.3594,58732800,0.5774
1992-06-30,0.3477,34777600,0.576
1992-07-01,0.3555,18316800,0.594
1992-07-02,0.3555,13996800,0.6
1992-07-06,0.3555,5753600,0.593
1992-07-07,0.3555,10662400,0.607
1992-07-08,0.3477,15500800,0.6115
1992-07-09,0.3594,3923200,0.6095
1992-07-10,0.3633,11040000,0.6315
1992-07-13,0.3711,5996800,0.6105
1992-07-14,0.3711,17062400,0.616
1992-07-15,0.3828,4992000,0.615
1992-07-16,0.4083,17062400,0.625
1992-07-17,0.4297,15667200,0.616
1992-07-20,0.4336,19744000,0.6005
1992-07-21,0.4375,7782400,0.618
1992-07-22,0.4336,10892800,0.6135
1992-07-23,0.4414,10387200,0.6095
1992-07-24,0.4453,7052800,0.601
1992-07-27,0.4552,11430400,0.561
1992-07-28,0.4375,18009600,0.566
1992-07-29,0.4159,30848000,0.5555
1992-07-30,0.4141,11737600,0.5795
1992-07-31,0.4159,6886400,0.5625
1992-08-03,0.4198,4832000,0.5625
1992-08-04,0.4278,6822400,0.5665
1992-08-05,0.4102,9516800,0.566
1992-08-06,0.4102,3673600,0.562
1992-08-07,0.4258,8825600,0.5595
1992-08-10,0.4258,5888000,0.5325
1992-08-11,0.4297,4147200,0.528
1992-08-12,0.4102,12736000,0.5075
1992-08-13,0.4102,48320000,0.5085
1992-08-14,0.3867,17849600,0.505
1992-08-17,0.3945,2681600,0.4825
1992-08-18,0.3906,2860800,0.5015
1992-08-19,0.3906,2380800,0.508
1992-08-20,0.3867,2489600,0.5025
1992-08-21,0.3789,2048000,0.512
1992-08-24,0.3828,6905600,0.5235
1992-08-25,0.3789,4128000,0.509
1992-08-26,0.375,19385600,0.5186
1992-08-27,0.3828,6169600,0.5294
1992-08-28,0.3906,3417600,0.5458
1992-08-31,0.3886,4441600,0.5394
1992-09-01,0.3945,2387200,0.547
1992-09-02,0.4316,11692800,0.553
1992-09-03,0.4453,16480000,0.552
1992-09-04,0.4492,4249600,0.545
1992-09-08,0.4864,17139200,0.5345
1992-09-09,0.4805,25299200,0.509
1992-09-10,0.4766,8889600,0.514
1992-09-11,0.4883,13036800,0.5095
1992-09-14,0.5117,13068800,0.5135
1992-09-15,0.4805,18099200,0.5215
1992-09-16,0.4648,14963200,0.5305
1992-09-17,0.4453,13459200,0.5335
1992-09-18,0.4258,17260800,0.553
1992-09-21,0.4609,24012800,0.569
1992-09-22,0.4805,19206400,0.5685
1992-09-23,0.4766,26912000,0.568
1992-09-24,0.4805,5459200,0.5605
1992-09-25,0.4766,12102400,0.566
1992-09-28,0.502,7532800,0.5525
1992-09-29,0.4823,9593600,0.541
1992-09-30,0.4727,11123200,0.557
1992-10-01,0.4609,4556800,0.567
1992-10-02,0.4492,5926400,0.5685
1992-10-05,0.4531,12755200,0.58
1992-10-06,0.457,6022400,0.59
1992-10-07,0.4453,3692800,0.598
1992-10-08,0.457,2470400,0.604
1992-10-09,0.4472,2432000,0.6225
1992-10-12,0.4648,4134400,0.618
1992-10-13,0.4727,4390400,0.6345
1992-10-14,0.4648,4742400,0.6315
1992-10-15,0.4688,2950400,0.6285
1992-10-16,0.4844,8774400,0.628
1992-10-19,0.5078,14745600,0.6215
1992-10-20,0.5,8032000,0.6485
1992-10-21,0.4922,3366400,0.652
1992-10-22,0.5039,5772800,0.6595
1992-10-23,0.5,5785600,0.654
1992-10-26,0.4961,7436800,0.6585
1992-10-27,0.4609,19462400,0.6655
1992-10-28,0.4414,22240000,0.668
1992-10-29,0.4688,21280000,0.6715
1992-10-30,0.4609,5120000,0.6845
1992-11-02,0.4453,18604800,0.678
1992-11-03,0.457,5952000,0.678
1992-11-04,0.4552,3699200,0.6715
1992-11-05,0.4648,17504000,0.6495
1992-11-06,0.4961,25056000,0.643
1992-11-09,0.5,13024000,0.6195
1992-11-10,0.4883,4870400,0.632
1992-11-11,0.4961,4230400,0.6525
1992-11-12,0.4805,12524800,0.6725
1992-11-13,0.5,11520000,0.692
1992-11-16,0.5039,12582400,0.725
1992-11-17,0.5078,8256000,0.6955
1992-11-18,0.5313,25280000,0.695
1992-11-19,0.5625,19276800,0.6915
1992-11-20,0.5566,46131200,0.704
1992-11-23,0.5586,16620800,0.7001
1992-11-24,0.5625,6067200,0.6887
1992-11-25,0.5761,8051200,0.6981
1992-11-30,0.5898,9465600,0.7278
1992-12-01,0.5781,9171200,0.757
1992-12-02,0.5586,44780800,0.7555
1992-12-03,0.5508,28006400,0.765
1992-12-04,0.5508,24364800,0.761
1992-12-07,0.5372,34515200,0.766
1992-12-08,0.5352,16448000,0.78
1992-12-09,0.5273,7718400,0.7785
1992-12-10,0.5469,14259200,0.7865
1992-12-11,0.5429999999999999,5734400,0.793
1992-12-14,0.5352,7123200,0.7905
1992-12-15,0.5508,6867200,0.787
1992-12-16,0.5625,17529600,0.787
1992-12-17,0.5781,14988800,0.7875
1992-12-18,0.5742,4473600,0.797
1992-12-21,0.5820000000000001,3046400,0.819
